cluster_id,canonical_name,member_name,member_occurrences,similarity_to_canonical,decks,units,action
212,Seasonal Promo ROS - Launch Lifts,Seasonal Promo ROS - Launch Lifts,5,1.0000,Disney+ EMEA  FY24 H2,percent,keep
213,Source,Source,6,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
214,Spring Promo Roadblocks Install Lifts,Spring Promo Roadblocks Install Lifts,6,1.0000,Disney+ EMEA FY25 H1,percent,keep
215,Spring Promo Spotlight,Spring Promo Spotlight,1,1.0000,Disney+ US FY25 H1,count,keep
216,Static,Static,4,1.0000,Disney+ EMEA  FY25 H2; Disney+ US FY24 H2,count; percent; ratio,keep
217,TV Models,TV Models,2,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,keep
218,Though the D+ install base grew,Though the D+ install base grew,3,1.0000,Disney+ US FY24 H2,percent,keep
219,Title: $CPA,Title: $CPA,1,1.0000,Disney+ EMEA FY25 H1,count,keep
220,Top Performer,Top Performer,1,1.0000,Disney+ EMEA  FY24 H2,ratio,keep
221,Total Clicks,Total Clicks,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
222,Total Engaged,Total Engaged,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
223,Total Engaged Users,Total Engaged Users,2,1.0000,Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
224,Total Impressions,Total Impressions,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
225,Total Installs,Total Installs,5,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
226,Total Investment,Total Investment,1,1.0000,Disney+ US FY25 H1,currency,keep
227,Total Launches,Total Launches,7,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY24 H2; Disney+ US FY25 H1,count,keep
228,Total Proxy Conversions,Total Proxy Conversions,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
229,Total Reach,Total Reach,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,keep
230,Total Reach Delivered,Total Reach Delivered,1,1.0000,Disney+ EMEA  FY25 H2,percent,keep
231,Total Spend,Total Spend,1,1.0000,Disney+ EMEA  FY24 H2,currency,keep
232,Total Unique Reach,Total Unique Reach,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
233,Total unique devices reached in June 2024,Total unique devices reached in June 2024,4,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,keep
234,TotalInvestment,TotalInvestment,1,1.0000,Disney+ US FY24 H2,percent,keep
235,UK Users Track Sports Team,UK Users Track Sports Team,2,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,keep
236,US Indexed Turned On TVs by Day of Week,US Indexed Turned On TVs by Day of Week,1,1.0000,Disney+ US FY24 H2,count,keep
237,US LG webOS TVs,US LG webOS TVs,1,1.0000,Disney+ US FY25 H1,count,keep
238,US/CA,US/CA,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
239,Unique Devices Exclusively Reached,Unique Devices Exclusively Reached,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
240,Unique Devices Reached,Unique Devices Reached,1,1.0000,Disney+ EMEA  FY25 H2,count,keep
241,Unique Devices were exposed ONLY to RB!,Unique Devices were exposed ONLY to RB!,2,1.0000,Disney+ EMEA  FY24 H2,count,keep
242,Unique Devices were exposed ONLY to ROS!,Unique Devices were exposed ONLY to ROS!,2,1.0000,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,keep
243,Unique Reach,Unique Reach,4,1.0000,Disney+ EMEA  FY24 H2; Disney+ EMEA  FY25 H2; Disney+ US FY24 H2,count; percent,keep
244,Video Companion,Video Companion,2,1.0000,Disney+ EMEA  FY25 H2,percent,keep
245,Video Enabled,Video Enabled,1,1.0000,Disney+ US FY24 H2,count,keep
246,Video-First,Video-First,1,1.0000,Disney+ EMEA  FY24 H2,count,keep
247,Waiting for LGE Response,Waiting for LGE Response,1,1.0000,Disney+ US FY24 H2,count,keep
248,mins,mins,3,1.0000,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,keep
249,of total Investment in H2 Roadblock Strategy,of total Investment in H2 Roadblock Strategy,1,1.0000,Disney+ EMEA  FY24 H2,percent,keep
250,of total Investment in UK,of total Investment in UK,1,1.0000,Disney+ EMEA  FY24 H2,percent,keep
251,of total UK Investment in June 2024,of total UK Investment in June 2024,1,1.0000,Disney+ EMEA  FY24 H2,percent,keep
