metric_name,normalized_name,canonical_name,occurrences,deck_count,decks,units,categories,looks_metric_like,name_length,token_count,sample_context
EU5 App Penetration,eu5 app penetration,EU5 App Penetration,2,1,Disney+ EMEA  FY25 H2,percent,other,false,19,3,EU5 App Penetration: Only ~30% LG Ads MAU Reach EU5 App Penetration: Only ~30% LG Ads MAU Reach
Higher CTR vs. Benchmark,higher ctr vs benchmark,Higher CTR vs. Benchmark,2,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,ratio,other,true,24,4,Data Updated 1.5x Higher CTR vs. Benchmark CTR 0.30%
Highest Install rate,highest install rate,Highest Install rate,2,1,Disney+ EMEA  FY24 H2,percent,performance,true,20,3,Widya: Updated [TABLE] x | New Users reached via Roadblocks 0.10% | Highest Install rate 31.8% | Highest Launch Rate $0.42 | Lowest CPE
Highest Launch Rate,highest launch rate,Highest Launch Rate,2,1,Disney+ EMEA  FY24 H2,percent,performance,true,19,3,Widya: Updated [TABLE] x | New Users reached via Roadblocks 0.10% | Highest Install rate 31.8% | Highest Launch Rate $0.42 | Lowest CPE
"In a single day, the Home Screen Roadblocks reached over 5.4M devices",in a single day the home screen roadblocks reached over 5 4m devices,"In a single day, the Home Screen Roadblocks reached over 5.4M devices",2,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,count,reach,false,69,13,"High Impact Drives In a single day, the Home Screen Roadblocks reached over 5.4M devices - nearly 1/3 of all devices reached by Disney+ in H1’25. Continue to prioritize Roadblocks across all EMEA markets on key dates Con"
InstallsH2’24: 263.5K,installsh2 24 263 5k,InstallsH2’24: 263.5K,2,1,Disney+ US FY25 H1,percent,performance,false,21,4,+26% InstallsH2’24: 263.5K H1’25: 332.5K +16% ReachH2’24: 11.75M H1’25: 13.65M
LaunchesH2’24,launchesh2 24,LaunchesH2’24,2,2,Disney+ EMEA FY25 H1; Disney+ US FY25 H1,count,performance,false,13,2,+27% LaunchesH2’24: 9.4M H1’25: 12.0M H1’25 vs H2’24 Analysis
Lowest CPE,lowest cpe,Lowest CPE,2,1,Disney+ EMEA  FY24 H2,currency,cost,true,10,2,Widya: Updated [TABLE] x | New Users reached via Roadblocks 0.10% | Highest Install rate 31.8% | Highest Launch Rate $0.42 | Lowest CPE
More Acquired Users than Homescreen RB,more acquired users than homescreen rb,More Acquired Users than Homescreen RB,2,1,Disney+ EMEA FY25 H1,percent,other,false,38,6,Power of the Content Store Roadblock 23% More Acquired Users than Homescreen RB 10% Engaged Users
More Efficient CPA vs Last Half,more efficient cpa vs last half,More Efficient CPA vs Last Half,2,1,Disney+ US FY24 H2,percent,cost,true,31,6,"Cost per Acquired User (CPA): Cost to acquire a net new user 22% More Efficient CPA vs Last Half Disney+ invested $1.8M towards acquisition lines to acquire 40K new users in H2, delivering a $45.44 CPA -22% decrease of $"
Multi-Card,multi card,Multi-Card,2,1,Disney+ US FY24 H2,percent,other,false,10,2,Multi-Card Roadblock Install Lift: Creative Type +153%
Native Home Screen,native home screen,Native Home Screen,2,1,Disney+ EMEA FY25 H1,count,other,false,18,3,"Native Home Screen - 3D Native Home Screen - 3D With Innovative, Inviting, and Interactive Ad Executions that Capture Imagination and Attention"
Of Engaged Users,of engaged users,Of Engaged Users,2,1,Disney+ EMEA  FY24 H2,percent,engagement,false,16,3,High Impact Roadblock Snapshot - United Kingdom 63% Of Engaged Users 69% Of Acquired Users
Of H1 Investment,of h1 investment,Of H1 Investment,2,1,Disney+ EMEA FY25 H1,percent,cost,false,16,3,Power of the Content Store Roadblock 5% Of H1 Investment 10% Engaged Users
Of Total Installs,of total installs,Of Total Installs,2,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,percent,performance,false,17,3,"High Impact Roadblock Snapshot - United Kingdom 57% Of Total Installs With almost half the EMEA roadblock budget in 2H2’24, the UK generated a higher share of conversions across the board and delivered a lower CPA!"
Of Total Launches,of total launches,Of Total Launches,2,1,Disney+ EMEA  FY24 H2,percent,performance,false,17,3,High Impact Roadblock Snapshot - United Kingdom 63% Of Total Launches 65% Of Total Streaming Hours
Of total launches,of total launches,Of Total Launches,2,1,Disney+ EMEA FY25 H1,percent,performance,false,17,3,Power of the Content Store Roadblock 11% Of total launches 5% Of H1 Investment
Of Total Streaming Hours,of total streaming hours,Of Total Streaming Hours,2,1,Disney+ EMEA  FY24 H2,percent,other,true,24,4,"High Impact Roadblock Snapshot - United Kingdom 65% Of Total Streaming Hours With almost half the EMEA roadblock budget in 2H2’24, the UK generated a higher share of conversions across the board and delivered a lower CPA"
Penetration of LG MAUs,penetration of lg maus,Penetration of LG MAUs,2,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,reach,false,22,4,Updated 29% Penetration of LG MAUs D+ App Penetration: EU5 Markets - September ‘25
Proxy Conversions,proxy conversions,Proxy Conversions,2,1,Disney+ EMEA  FY25 H2,count,performance,false,17,2,"XLOB Added Value Snapshot 315K Proxy Conversions The Global XLOB partnership proved to be a major growth accelerator, unlocking over $500K in added value that delivered meaningful scale across the funnel."
ReachH2’24: 11.75M,reachh2 24 11 75m,ReachH2’24: 11.75M,2,1,Disney+ US FY25 H1,percent,reach,false,18,4,+16% ReachH2’24: 11.75M H1’25: 13.65M +23% Engaged UsersH2’24: 46.6K H1’25: 70.0K
ROS,ros,ROS,2,1,Disney+ US FY24 H2,currency,other,false,3,1,"ROS - Not Installed : $80K ROS - Not Installed : $80K Not Installed ROS lines continue to drive success in acquiring new users at a highly efficient CPA ½ the cost of a monthly Disney+ subscription, with a strong install"
Total Acquired Users,total acquired users,Total Acquired Users,2,2,Disney+ US FY24 H2; Disney+ US FY25 H1,count,other,false,20,3,Disney+ Native Added Value Spotlight 10.8K Total Acquired Users 21.4K Total Engaged Users
Total Engaged Users,total engaged users,Total Engaged Users,2,2,Disney+ US FY24 H2; Disney+ US FY25 H1,count,engagement,false,19,3,Disney+ Native Added Value Spotlight 21.4K Total Engaged Users Disney+ received more than $113.25K in added value (over 9M impressions) in H2’24 thanks to the Disney XLOB FY’24 Partnership
TV Models,tv models,TV Models,2,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,other,false,9,2,"As viewers navigate down the LG Home Screen to view additional content, the Native InLine Banner enriches content discovery beyond the fold Markets: UK, ES, DE, IT, US, & AU TV Models: 2020+ December: 2024, 2023, & 2022 "
UK Users Track Sports Team,uk users track sports team,UK Users Track Sports Team,2,2,Disney+ EMEA  FY25 H2; Disney+ EMEA FY25 H1,percent,other,false,26,5,Product Innovation: Sports Hub 70% UK Users Track Sports Team
Unique Devices were exposed ONLY to RB!,unique devices were exposed only to rb,Unique Devices were exposed ONLY to RB!,2,1,Disney+ EMEA  FY24 H2,count,other,false,39,7,"High Impact UK Roadblock: Incremental Reach 1.1M Unique Devices were exposed ONLY to RB! 1.9M Unique Devices were exposed to Roadblocks, including overlap with ROS"
Unique Devices were exposed ONLY to ROS!,unique devices were exposed only to ros,Unique Devices were exposed ONLY to ROS!,2,2,Disney+ EMEA  FY24 H2; Disney+ US FY24 H2,count,other,false,40,7,"High Impact RBs Incremental Reach 1.3M Unique Devices were exposed ONLY to ROS! Disney’s Native ROS drove 24% incremental reach to the roadblock strategy, engaging 1.3M unique devices that weren’t exposed to the roadbloc"
Video Companion,video companion,Video Companion,2,1,Disney+ EMEA  FY25 H2,percent,other,false,15,2,"Video Companion 4% H2 reflects a strategic shift towards Carousel Companion and 3D Animated creatives, as nearly 40% of assets adopted dynamic video formats, a proven driver of powerful engagement."
% Lapsed→,lapsed,Lapsed,1,1,Disney+ EMEA FY25 H1,percent,other,false,9,1,CPE by Secondary Markets - Lapsed ROS 73%
(NEW) 3D Animated Carousel,new 3d animated carousel,(NEW) 3D Animated Carousel,1,1,Disney+ US FY24 H2,count,other,false,26,4,"Continue to lean into immersive and animated ad experiences to grab the viewer's attention and drive them into the Disney+ app. Video Enabled - Leverage up to :30 video for both Roadblocks and ROS, driving CTR up to 2x h"
+1 ppt HoH,1 ppt hoh,+1 ppt HoH,1,1,Disney+ EMEA  FY25 H2,percent,other,false,10,3,"+1 ppt HoH 67% Of TVs with Disney+ Installed in EMEA, 67%+ are Lapsed (+1ppt vs last half) providing significant opportunity to target this audience and bring them back into Disney+ to subscribe."
+2 ppt HoH,2 ppt hoh,+2 ppt HoH,1,1,Disney+ EMEA  FY25 H2,percent,other,false,10,3,+2 ppt HoH 76% +1 ppt HoH
3D Animated,3d animated,3D Animated,1,1,Disney+ EMEA  FY25 H2,percent,other,false,11,2,"3D Animated 4% H2 reflects a strategic shift towards Carousel Companion and 3D Animated creatives, as nearly 40% of assets adopted dynamic video formats, a proven driver of powerful engagement."
3D VS Video Companion,3d vs video companion,3D VS Video Companion,1,1,Disney+ EMEA  FY25 H2,count,other,false,21,4,… 3D VS Video Companion - UK Alien Earth Split Test (3D Carousel vs Carrousel Companion Video)→ 8/30
6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall,6x higher launch rate 32 for roadblock vs uk h2 overall,6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall,1,1,Disney+ EMEA  FY24 H2,ratio,performance,true,59,11,Widya: Updated [TABLE] 1.9M | New Users reached via Roadblocks (4.6x frequency) 4x | 6x Higher Launch rate (32%) for Roadblock vs. UK H2 Overall 74% | Lower CPE of $0.42 vs. UK H2 Overall 100% SOV Roadblocks were effecti
Acquired User = any user that installs and launches Disney+ for a +30 minute session. Source,acquired user any user that installs and launches disney for a 30 minute session source,Acquired User = any user that installs and launches Disney+ for a +30 minute session. Source,1,1,Disney+ US FY24 H2,count,engagement,true,92,14,Cost per Acquired User (CPA): Cost to acquire a net new user Acquired User = any user that installs and launches Disney+ for a +30 minute session. Source: LG Ad Solutions TV Campaigns Data during Disney FY H2’24 (April -
Acquired UsersH2’24,acquired usersh2 24,Acquired UsersH2’24,1,1,Disney+ US FY25 H1,count,other,false,19,3,+30% Acquired UsersH2’24: 40.2K H1’25: 57.2K H1’25 vs H2’24 Analysis
Acquired UsersH2’24: 40.2K,acquired usersh2 24 40 2k,Acquired UsersH2’24: 40.2K,1,1,Disney+ US FY25 H1,percent,other,false,26,5,+30% Acquired UsersH2’24: 40.2K H1’25: 57.2K H1’25 vs H2’24 Analysis
Acquisitions,acquisitions,Acquisitions,1,1,Disney+ EMEA FY25 H1,count,performance,false,12,1,1/3 Acquisitions 2K Engaged Users 397K
"Across H2, 13 markets deployed the Carousel Companion unit with 16",across h2 13 markets deployed the carousel companion unit with 16,"Across H2, 13 markets deployed the Carousel Companion unit with 16",1,1,Disney+ EMEA  FY25 H2,count,other,false,66,11,"Power of Video within the Carousel Companion Across H2, 13 markets deployed the Carousel Companion unit with 16:9 video, and the format consistently delivered top-tier performance across every KPI. 13x Markets Carousel C"
APAC,apac,APAC,1,1,Disney+ EMEA  FY24 H2,count,other,false,4,1,Increased LG Smart TVs [TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY
Average Duration (Minutes),average duration minutes,Average Duration (Minutes),1,1,Disney+ EMEA  FY24 H2,count,engagement,true,26,3,CPA: Inclusive of only App Not Installed targeting 65.14 Average Duration (Minutes) 4.74M Total Launches
Average DurationCompanion,average durationcompanion,Average DurationCompanion,1,1,Disney+ EMEA  FY25 H2,count,engagement,false,25,2,-0.5% Average DurationCompanion: 70.68 3D: 71.03 -36% Cost Per Companion: $0.28 3D: $0.43
Average DurationCompanion: 70.68,average durationcompanion 70 68,Average DurationCompanion: 70.68,1,1,Disney+ EMEA  FY25 H2,percent,engagement,false,32,4,-0.5% Average DurationCompanion: 70.68 3D: 71.03 -36% Cost Per Companion: $0.28 3D: $0.43
Average DurationCountdown,average durationcountdown,Average DurationCountdown,1,1,Disney+ EMEA  FY25 H2,time,engagement,false,25,2,+2% Average DurationCountdown : 68.56 Min BAU: 67.54 Min
Average DurationCountdown : 68.56 Min,average durationcountdown 68 56 min,Average DurationCountdown : 68.56 Min,1,1,Disney+ EMEA  FY25 H2,percent,engagement,false,37,5,+2% Average DurationCountdown : 68.56 Min BAU: 67.54 Min
Avg Monthly Frequency,avg monthly frequency,Avg Monthly Frequency,1,1,Disney+ EMEA  FY25 H2,ratio,reach,true,21,3,Total Proxy Conversions* Avg Monthly Frequency 6x Unique Reach 17M
Avg. Monthly Frequency,avg monthly frequency,Avg Monthly Frequency,1,1,Disney+ EMEA  FY24 H2,ratio,reach,true,22,3,CPA: Inclusive of only App Not Installed targeting 7.98x Avg. Monthly Frequency 0.14% CTR
Bundle,bundle,Bundle,1,1,Disney+ US FY25 H1,currency,other,false,6,1,Disney XLOB FY25 Partnership: Renewed at $17M & surpassed Tier 2 in 6 months Disney+ Global FY25 H1 Investment - $6.9M (+63% vs. H1 FY24) US accounts for 50% of Disney+ Global H1 investment $310K in Added Value Market Ac
Carousel Creative Analysis,carousel creative analysis,Carousel Creative Analysis,1,1,Disney+ EMEA  FY25 H2,count,other,false,26,3,"Carousel Creative Analysis: H1 vs H2 Carousel Creative Analysis: H1 vs H2 H2 reflects a strategic shift towards Carousel Companion and 3D Animated creatives, as nearly 40% of assets adopted dynamic video formats, a prove"
Click-through-Rate (CTR),click through rate ctr,Click-through-Rate (CTR),1,1,Disney+ EMEA  FY25 H2,percent,performance,true,24,4,"Power of Home Screen Roadblocks 0.19% Click-through-Rate (CTR) 32% Overall Q2/Q3 Hulu Investment Hulu’s three premiere-day Roadblocks reached 65% of all LG TVs exposed during Q2 and Q3, underscoring unmatched scale and i"
Clicks,clicks,Clicks,1,1,Disney+ EMEA  FY25 H2,count,performance,false,6,1,"XLOB Added Value Snapshot 87K Clicks The Global XLOB partnership proved to be a major growth accelerator, unlocking over $500K in added value that delivered meaningful scale across the funnel."
COMP,comp,COMP,1,1,Disney+ US FY25 H1,count,other,false,4,1,COMP - 3D Animated Carousel COMP - 3D Animated Carousel Carousel Home Screen | TV Models: 2019 & Newer
Companion,companion,Companion,1,1,Disney+ EMEA  FY25 H2,percent,other,false,9,1,"UK Alien Earth Split Test +5% CTR Companion: 0.38% 3D: 0.37% Video Companion Carousel delivered higher CTRs, +50% launch rates, and +36% effectiveness, while the 3D Animated Carousel excelled in time spent."
Companion Video,companion video,Companion Video,1,1,Disney+ US FY24 H2,ratio,other,false,15,2,"Companion Video: 14x Companion Video: 14x 68% of carousel creatives were static–the lowest performing ad unit.With only 1 activation, 3D animation drove highest engagement rates and lowest cost-pers, whereas companion vi"
Content Store Roadblock: Spotlight,content store roadblock spotlight,Content Store Roadblock,1,1,Disney+ EMEA FY25 H1,count,other,false,34,4,Content Store Roadblock: Spotlight Disney gained access to viewers actively seeking apps to download and new content through LG’s Native Content Store Roadblock Markets: UK & Germany Flights: UK: 11/16- 11/30 & 3/16- 3/3
Cost per Acquired User,cost per acquired user,Cost per Acquired User,1,1,Disney+ EMEA  FY24 H2,currency,cost,false,22,4,CPA: Inclusive of only App Not Installed targeting $17.09 Cost per Acquired User $2.66 Cost per Engaged User
Cost Per Companion,cost per companion,Cost Per Companion,1,1,Disney+ EMEA  FY25 H2,currency,cost,false,18,3,"-36% Cost Per Companion: $0.28 3D: $0.43 Video Companion Carousel delivered higher CTRs, +50% launch rates, and +36% effectiveness, while the 3D Animated Carousel excelled in time spent."
Cost Per Companion: $0.28,cost per companion 0 28,Cost Per Companion: $0.28,1,1,Disney+ EMEA  FY25 H2,percent,cost,false,25,5,-36% Cost Per Companion: $0.28 3D: $0.43 +50% Launch RateCompanion: 28.42% 3D:18.97%
Cost per Engaged User,cost per engaged user,Cost per Engaged User,1,1,Disney+ EMEA  FY24 H2,currency,cost,false,21,4,CPA: Inclusive of only App Not Installed targeting $2.66 Cost per Engaged User $17.09 Cost per Acquired User
Cost Per Install,cost per install,Cost Per Install,1,1,Disney+ EMEA  FY24 H2,currency,cost,true,16,3,CPA: Inclusive of only App Not Installed targeting $2.14 Cost Per Install $17.09 Cost per Acquired User
Cost Per Proxy Conversions,cost per proxy conversions,Cost Per Proxy Conversions,1,1,Disney+ EMEA  FY25 H2,currency,cost,false,26,4,Avg Monthly Frequency Cost Per Proxy Conversions $1.79 Total Proxy Conversions* 1.6M
Cost pers Countdown,cost pers countdown,Cost pers Countdown,1,1,Disney+ EMEA  FY25 H2,currency,cost,false,19,3,"= Cost pers Countdown: $0.66 BAU: $0.66 Countdown Clock placements proved highly engaging in Germany, driving +18% CTR, +4% Launch Rate, and +1 minutes longer duration — reinforcing the power of urgency-driven creative."
Cost PersH1’25,cost persh1 25,Cost PersH1’25,1,1,Disney+ EMEA  FY25 H2,currency,cost,false,14,3,-32% Cost PersH1’25: $2.62 H2’25: $1.79 +78% LaunchesH1’25: 12.0M H2’25: 21.2M
Cost PersH1’25: $2.62,cost persh1 25 2 62,Cost PersH1’25: $2.62,1,1,Disney+ EMEA  FY25 H2,percent,cost,false,21,5,-32% Cost PersH1’25: $2.62 H2’25: $1.79 +78% LaunchesH1’25: 12.0M H2’25: 21.2M
CPE (Lapsed),cpe lapsed,CPE (Lapsed),1,1,Disney+ EMEA  FY24 H2,currency,cost,true,12,2,Duration per Session CPE (Lapsed) $3.30 Duration per Session 65 mins
CPEH2’24,cpeh2 24,CPEH2’24,1,1,Disney+ EMEA FY25 H1,currency,cost,false,8,2,H1’25 vs H2’24 Analysis -21% CPEH2’24: $3.30 H1’25: $2.62 +25% InstallsH2’24: 699K H1’25: 876K
CPEH2’24: $3.30,cpeh2 24 3 30,CPEH2’24: $3.30,1,1,Disney+ EMEA FY25 H1,percent,cost,false,15,4,H1’25 vs H2’24 Analysis -21% CPEH2’24: $3.30 H1’25: $2.62 +25% InstallsH2’24: 699K H1’25: 876K
CTR across Disney+ Korea campaign,ctr across disney korea campaign,CTR across Disney+ Korea campaign,1,1,Disney+ US FY25 H1,percent,other,true,33,5,CTR across Disney+ Korea campaign 2.87% Note: The LG Ad Solutions Product Roadmap is subject to change and is not a guarantee.
CTR Increase,ctr increase,CTR Increase,1,1,Disney+ EMEA  FY25 H2,ratio,other,true,12,2,Blending Creativity and Innovation to Win Big 3.2x CTR Increase LG Ad Solutions was awarded with Best Use of CTV Technology award at ExchangeWire's The Wires Awards! The 3D Animated TV Home Screen campaign with Publicis 
CTRCountdown,ctrcountdown,CTRCountdown,1,1,Disney+ EMEA  FY25 H2,percent,other,false,12,1,"+18% CTRCountdown: 0.20% BAU: 0.17% Countdown Clock placements proved highly engaging in Germany, driving +18% CTR, +4% Launch Rate, and +1 minutes longer duration — reinforcing the power of urgency-driven creative."
CTRCountdown: 0.20%,ctrcountdown 0 20,CTRCountdown: 0.20%,1,1,Disney+ EMEA  FY25 H2,percent,other,false,19,3,"+18% CTRCountdown: 0.20% BAU: 0.17% Countdown Clock placements proved highly engaging in Germany, driving +18% CTR, +4% Launch Rate, and +1 minutes longer duration — reinforcing the power of urgency-driven creative."
Custom Animated Creative,custom animated creative,Custom Animated Creative,1,1,Disney+ EMEA  FY24 H2,count,other,false,24,3,"LG has upgraded the Smart TV interface with the Carousel Home Screen, bringing a fresh interactive dimension to all 2019+ LG TVs Top Performer: Carousel supports strong CTR, often outperforming other placements by 2x Hig"
D+ App Penetration MAUs,d app penetration maus,D+ App Penetration,1,1,Disney+ EMEA FY25 H1,count,reach,false,23,4,"D+ App Penetration MAUs: EU5 Markets With a majority of ROS support with the Content Store Roadblock in UK & DE, Disney+ EU5 MAUs are growing on LG TVs over the last 6 months with plenty of opportunity to close the gap f"
D+ App Users,d app users,D+ App Users,1,1,Disney+ EMEA FY25 H1,count,other,false,12,3,Flip to Active % D+ App Users: EU5 Markets The % of Lapsed users has decreased showcasing reengagment is driving acquisition for the Lapsed audience throughout paid media.
D+ Growth in MAUs (April 25,d growth in maus april 25,D+ Growth in MAUs (April 25,1,1,Disney+ EMEA  FY25 H2,count,reach,false,27,6,EMEA Disney+ Active User Growth D+ Growth in MAUs (April 25 - September 25) Turkey: 460K +27% Greece: 201K +18% Czech: 232K +11%
December,december,December,1,1,Disney+ EMEA  FY24 H2,count,other,false,8,1,"As viewers navigate down the LG Home Screen to view additional content, the Native InLine Banner enriches content discovery beyond the fold Markets: UK, ES, DE, IT, US, & AU TV Models: 2020+ December: 2024, 2023, & 2022 "
Deduplicated Reach Against Other TV OEMs,deduplicated reach against other tv oems,Deduplicated Reach vs. Other TV OEMS,1,1,Disney+ EMEA  FY24 H2,percent,reach,true,40,6,A Winning Combination of [TABLE] 48M | Europe LG Smart TVs 176M | Global LG Smart TVs 90%+ | Deduplicated Reach Against Other TV OEMs
Deduplicated Reach vs,deduplicated reach vs,Deduplicated Reach,1,1,Disney+ EMEA  FY24 H2,percent,reach,true,21,3,"93% Deduplicated Reach vs. Percentage of TVs in Household for ⬤ LG, ⬤ Samsung, and ⬤ Others (UK) LG and Samsung TVs Make Up the Majority of the UK Market"
Discrepancy between LG MAUs and D+ MAUs,discrepancy between lg maus and d maus,Discrepancy between LG MAUs and D+ MAUs,1,1,Disney+ US FY24 H2,count,reach,false,39,6,"LG & Disney+ Respective MAUs Growth 13M Discrepancy between LG MAUs and D+ MAUs With a majority of only Roadblock support, Disney+ is growing on LG TVs at a much lower rate vs the LG universe"
Disney+ Global FY25 Investment,disney global fy25 investment,Disney+ Global FY25 H1 Investment,1,1,Disney+ EMEA  FY25 H2,currency,cost,false,30,4,Disney XLOB FY25 Partnership: $34M Investment across 20 Lines of Business Disney+ Global FY25 Investment - $18M (2x FY24) EMEA accounts for 30% of Disney+ Global Investment +$500K in Added Value Market Activation & Expan
Disney+ KR CTR,disney kr ctr,Disney+ KR CTR,1,1,Disney+ EMEA FY25 H1,percent,other,true,14,3,"Disney+ KR CTR 2.89% As viewers navigate down the LG Home Screen, the Native InLine Banner enriches content discovery for entertainment partners beyond the fold. Ad Format & Availability Banner: 1770x221 2020+ TV Model Y"
Domestic,domestic,Domestic,1,1,Disney+ US FY25 H1,count,other,false,8,1,Domestic - June 2025 Domestic - June 2025
Duration,duration,Duration,1,1,Disney+ EMEA  FY25 H2,time,engagement,true,8,1,Avg Monthly Frequency Avg Duration 55 Mins Total Proxy Conversions* 1.6M
Engaged Users vs Overall Engaged Users,engaged users vs overall engaged users,Engaged Users vs Overall Engaged Users,1,1,Disney+ EMEA FY25 H1,percent,engagement,false,38,4,1/3 41% Engaged Users vs Overall Engaged Users The Spring Promo Roadblock Day across EMEA reached 1 in 3 of all TVs it touched over the full H1 duration — a standout moment for scale and impact
Engagement,engagement,Engagement,1,1,Disney+ US FY24 H2,count,engagement,true,10,1,"Engagement: H2’24 Roadblock Creative Analysis Engagement: H2’24 Roadblock Creative Analysis We see a similar story for engagement to acquisition, with single generating the lowest CPE and bundle duo driving the strongest"
Europe,europe,Europe,1,1,Disney+ EMEA  FY24 H2,count,other,false,6,1,Increased LG Smart TVs [TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY
Europe LG Smart TVs,europe lg smart tvs,Europe LG Smart TVs,1,1,Disney+ EMEA  FY24 H2,count,other,false,19,4,A Winning Combination of [TABLE] 48M | Europe LG Smart TVs 176M | Global LG Smart TVs 90%+ | Deduplicated Reach Against Other TV OEMs
Flight,flight,Flight,1,1,Disney+ EMEA FY25 H1,count,other,false,6,1,"Disney+ owned the LG Living Room across 8x markets on 29th of March. The 100% SOV Home Screen Roadblocks were instrumental in blocking out the competition during key primetime hours, driving reach, and delivering strong "
Gap between LG and D+ MAU,gap between lg and d mau,Gap between LG and D+ MAU,1,1,Disney+ US FY25 H1,count,reach,true,25,6,LG vs Disney+ MAU Growth 12.8M Gap between LG and D+ MAU Investment→
Global LG Smart TVs,global lg smart tvs,Global Smart TVs,1,1,Disney+ EMEA  FY24 H2,count,other,false,19,4,A Winning Combination of [TABLE] 48M | Europe LG Smart TVs 176M | Global LG Smart TVs 90%+ | Deduplicated Reach Against Other TV OEMs
Half Video (16,half video 16,Half Video (16,1,1,Disney+ US FY25 H1,count,other,false,14,3,Carousel Companion Carousel Companion Half Video (16:9) & Half Static CTA Carousel Video Full Carousel Video
High Impact and Rotational,high impact and rotational,High Impact and Rotational,1,1,Disney+ EMEA  FY24 H2,percent,other,false,26,4,"LG has upgraded the Smart TV interface with the Carousel Home Screen, bringing a fresh interactive dimension to all 2019+ LG TVs Top Performer: Carousel supports strong CTR, often outperforming other placements by 2x Hig"
Higher CTR vs overall H2,higher ctr vs overall h2,Higher CTR vs overall H2,1,1,Disney+ US FY24 H2,ratio,other,true,24,5,"Power of Content Store Roadblock 2.9x Higher CTR vs overall H2 Making up only 8% of total H2 budget, the content store roadblock accounted for a sizable portion of acquired users and saw impressive CTR and install rate g"
Higher Install Rate than Native Home Screen Roadblock,higher install rate than native home screen roadblock,Higher Install Rate than Native Home Screen Roadblock,1,1,Disney+ US FY24 H2,ratio,performance,true,53,8,"Power of Content Store Roadblock 6.2x Higher Install Rate than Native Home Screen Roadblock Making up only 8% of total H2 budget, the content store roadblock accounted for a sizable portion of acquired users and saw impr"
Installs to Acquisition Ratio,installs to acquisition ratio,Installs to Acquisition Ratio,1,1,Disney+ US FY24 H2,percent,performance,true,29,4,ROS - Not Installed : $80K 19% Installs to Acquisition Ratio Installs 118.5K
InstallsH2’24: 699K,installsh2 24 699k,InstallsH2’24: 699K,1,1,Disney+ EMEA FY25 H1,percent,performance,false,19,3,+25% InstallsH2’24: 699K H1’25: 876K +26% ReachH2’24: 11.6M H1’25: 14.6M
Intender Definition,intender definition,Intender Definition,1,1,Disney+ US FY25 H1,count,other,false,19,2,"FY25 H1 CPE: Intenders ROS Intender Definition: Has Disney+ installed + exclude TVs that have launched for 2+ minutes We introduced “Intender” targeting in H1, delivering ads to devices that have installed D+ but have lo"
Intender Opportunity Audience,intender opportunity audience,Intender Opportunity Audience,1,1,Disney+ US FY24 H2,count,other,false,29,3,2H’24 Acquisition Analysis 223K Intender Opportunity Audience Qualified Acquisitions
Intenders = Installers who did NOT become an acquired user Source,intenders installers who did not become an acquired user source,Intenders = Installers who did NOT become an acquired user Source,1,1,Disney+ US FY24 H2,count,performance,false,65,10,Cost per Acquired User (CPA): Cost to acquire a net new user Acquired User = any user that installs and launches Disney+ for a +30 minute session. Intenders = Installers who did NOT become an acquired user Source: LG Ad 
Investment→,investment,Investment,1,1,Disney+ US FY25 H1,currency,cost,false,11,1,Investment→ LG vs Disney+ MAU Growth $0
June 9th & 16th,june 9th 16th,June 9th & 16th,1,1,Disney+ EMEA  FY24 H2,count,other,false,15,3,Disney+ owned the LG Living Room as viewers decided what to watch across the blockbuster release of The Acolyte in June. The 100% SOV Home Screen Roadblocks are instrumental in blocking out the competition during key pri
LATAM,latam,LATAM,1,1,Disney+ EMEA  FY24 H2,count,other,false,5,1,Increased LG Smart TVs [TABLE] 44M | US/CA | +19% YoY 48M | Europe | +12% YoY 37M | LATAM | +16% YoY 39M | APAC | +19% YoY
Launch Rate VS Overall,launch rate vs overall,Launch Rate VS Overall,1,1,Disney+ EMEA  FY25 H2,ratio,performance,true,22,4,Power of Home Screen Roadblocks 2x Launch Rate VS Overall 15% Overall H2 Investment
Launch rate vs Static,launch rate vs static,Launch rate vs Static,1,1,Disney+ EMEA  FY24 H2,ratio,performance,true,21,4,Carousel Companion Spotlight: The Acolyte [TABLE] 3.7x | Launch rate vs Static 29% | More efficient CPA vs Static 79% | More efficient CPE vs Static +26 Mins | More avg. duration/launch vs static The Acolyte ran both Car
Launch RateCompanion,launch ratecompanion,Launch RateCompanion,1,1,Disney+ EMEA  FY25 H2,percent,performance,true,20,2,"+50% Launch RateCompanion: 28.42% 3D:18.97% Video Companion Carousel delivered higher CTRs, +50% launch rates, and +36% effectiveness, while the 3D Animated Carousel excelled in time spent."
