candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
finland,3,2,percentage:3,21% | 62%,orway: 24.16 / 23% not installed Denmark: 36.03 / 21% Finland: 40.60 / 26% Greece: 33.49 / 38% Hungary:,ht: Last Half Norway: 8.93 / 65% Denmark: 6.14 / 62% Finland: 5.14 / 69% Greece: $6.00 / 70% Hungary:,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-29
driving a,3,2,percentage:3,26%,"ional Home Screen Roadblocks in the US, driving a 26% lift in installs, 30% higher volume of acquired u","ional Home Screen Roadblocks in the US, driving a 26% lift in installs and reaching 2M more devices. Th",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-30 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-61 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-30
denmark,3,2,currency:2; percentage:1,$240.63 | $117.15 | 65%,’24. ### Notes: CPA: Overall = $110.42 Germany = $240.63 Denmark = $117.15 UK = $76.92 Sweden = $184.63,PA: Overall = $110.42 Germany = $240.63 Denmark = $117.15 UK = $76.92 Sweden = $184.63,"les, Turkey highlight: Last Half Norway: 8.93 / 65% Denmark: 6.14 / 62% Finland: 5.14 / 69% Greece: $",Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-29
decrease,3,2,currency:2; percentage:1,32% | $20,"ches (1.8x 75%) 975K engagements (61%) $2.62 CPE (32% decrease, $0.83 cheaper","d Targeting. ### Notes: H1 performance CPA – $10-$20 decrease, Norway: 24.16 / 23% not installed Denm",,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-22 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26
czech,3,2,percentage:3,+18%,key: 460K +27% - Greece: 201K +18% - Czech: 232K +11% - Spain: 1.4M,- Turkey: 359K +27% - France: 533K +18% - Czech: 219K +16% - Italy: 928K +15%,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-14 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-15
analysis - with a,3,2,currency:3,$1.42,- H1’25 vs H2’24 Analysis - With a $1.42M increase in spend within H1’25 unlocked 6x addi,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-30 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-61 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-30
aigns were executed via a mix of targeted ros and,3,2,percentage:3,100%,"aigns were executed via a mix of Targeted ROS and 100% SOV High Impact Roadblocks, ensuring strong reach",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-66 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
with the 5 minute window instead of the 30 minute,3,1,currency:3,$27.29,nity to leverage ROS in the future. CPA prior was $27.29 with the 5 minute window instead of the 30 minute,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-56 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-57 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-58
which is fabulous,3,1,currency:3,$12,out that the CPA range per roadblock was about $7-$12 which is fabulous. We also have TLAMP now which,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-56 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-57 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-58
video companion,3,1,percentage:3,4% | 32%,of powerful engagement. - H1 - H2 - 3D Animated - 4% - Video Companion - 4% ![rId4](slide_20_image_rId,- H1 - H2 - 3D Animated - 4% - Video Companion - 4% ![rId4](slide_20_image_rId4.jpg) ![rId5](slide_20,Id5](slide_20_image_rId5.jpg) - Video Companion - 32% - Static - 96% - Static - 64% - Source: LG Ads 1P,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
ros not installed - 48% - ros lapsed - 26%,3,1,percentage:3,21%,- 5% ![rId4](slide_14_image_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rI,- 5% ![rId4](slide_42_image_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rI,- 5% ![rId4](slide_58_image_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rI,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
ros lapsed - 26%,3,1,percentage:3,48%,e_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_14_image_rId5.jp,e_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_42_image_rId5.jp,e_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_58_image_rId5.jp,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
roadblock 21% - ros not installed,3,1,percentage:3,48%,e_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_14_image_rId5.jp,e_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_42_image_rId5.jp,e_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_58_image_rId5.jp,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
roadblock,3,1,percentage:3,21%,- 5% ![rId4](slide_14_image_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rI,- 5% ![rId4](slide_42_image_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rI,- 5% ![rId4](slide_58_image_rId4.jpg) - Roadblock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rI,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
only,3,1,currency:3,$320,→ while investment was flat half over half (only $320K higher) we introduced two new markets (Czech Rep,→ while investment was flat half over half (only $320K higher ) we introduced two new markets (Czech R,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47
of eu markets,3,1,percentage:3,90%,"rotational strategy to suppression and supporting 90% of EU markets (EU5, GR, HU, PL, TR). ![rId5](slid","otes: Julia Q4 expands suppression support across 90% of EU markets – EU5 and GR, HU, PL, & TR “Suppres",,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-24 | Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
of disney,3,1,percentage:3,5% | 11%,"block - While the Content Store represented just 5% of Disney’s H1 EMEA investment, this sponsorship","ermany - While the Content Store represented just 11% of Disney’s spend in UK and DE, the sponsorship d",,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-39 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-59 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-62
m - content store - 5%,3,1,currency:3,$2.56,ing key moments and promo periods. - Investment = $2.56M - Content Store - 5% ![rId4](slide_14_image_rId4,ing key moments and promo periods. - Investment = $2.56M - Content Store - 5% ![rId4](slide_42_image_rId4,from highest to lowest investment - Investment = $2.56M - Content Store - 5% ![rId4](slide_58_image_rId4,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
m - content store,3,1,percentage:3,5%,periods. - Investment = $2.56M - Content Store - 5% ![rId4](slide_14_image_rId4.jpg) - Roadblock 21%,periods. - Investment = $2.56M - Content Store - 5% ![rId4](slide_42_image_rId4.jpg) - Roadblock 21%,nvestment - Investment = $2.56M - Content Store - 5% ![rId4](slide_58_image_rId4.jpg) - Roadblock 21%,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
lock 21% - ros not installed - 48% - ros lapsed,3,1,percentage:3,26%,lock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_14_image_rId5.jpg) ### Notes: JULI,lock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_42_image_rId5.jpg) ### Notes: EMEA,lock 21% - ROS Not Installed - 48% - ROS Lapsed - 26% ![rId5](slide_58_image_rId5.jpg),Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
k higher,3,1,currency:3,$320,→ while investment was flat half over half (only $320K higher) we introduced two new markets (Czech Rep,→ while investment was flat half over half (only $320K higher ) we introduced two new markets (Czech R,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-47
it achieved a,3,1,currency:3,$7.29,ant to shift our focus here to ROS. It achieved a $7.29 CPA which is wonderful given subscription fees an,ant to shift our focus here to ROS. It achieved a $7.29 CPA which is wonderful given subscription fees,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-56 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-57 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-58
xlob added value snapshot - fueled by,2,2,currency:2,$310,"rId3.jpg) - XLOB Added Value Snapshot - Fueled by $310K in added value, LG Ads delivered 20M impressions",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-38 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-37
with an average less than,2,2,currency:2,$1,"impressively low CPEs, with an average less than $1! ![rId4](slide_58_image_rId4.jpg) ![rId5](slide_5","impressively low CPEs, with an average less than $1! ![rId4](slide_34_image_rId4.jpg) ![rId5](slide_3",,Disney+ US FY25 H1/04_metrics_extracted.json#slide-43 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-41
us lg webos tvs - 200m,2,2,percentage:2,+17%,people Experience TV. - US LG webOS TVs - 200M - +17% - Growth Since ‘24 - Global LG webOS TVs - 94%+ -,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-8 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-8
us accounts for,2,2,percentage:2,50%,nt - $6.9M (+63% vs. H1 FY24) - US accounts for 50% of Disney+ Global H1 investment - $310K in Ad,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
uk users track sports team,2,2,percentage:2,70%,mage_rId4.jpg) ![rId5](slide_22_image_rId5.jpg) - 70% - UK Users Track Sports Team ![rId3](slide_22_ima,![rId9](slide_25_image_rId9.jpg) - 70% - UK Users Track Sports Team ![rId3](slide_25_ima,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-12 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-12
total investment,2,2,currency:2,$595,d7](slide_10_image_rId7.jpg) - Total Investment - $595K - Reach / Frequency - 7M / 6X - - # of Roadbloc,Id7](slide_9_image_rId7.jpg) - Total Investment - $595K - Reach / Frequency - 7M / 6X - - # of Roadbloc,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-38
to 94 minutes,2,2,percentage:2,+26%,"Campaign data; Last half was 74 minutes overall +26% to 94 minutes. Dates: 11/16, 11/17, 12/9 - 12/29,",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-26 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-26
tent store - roadblock - disney ran static assets,2,2,percentage:2,80%,tent Store - Roadblock - Disney ran static assets 80% of the time. Prioritize Carousel Companion based,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-46 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-44
tallers - lapsed users - 64% - 21% - installers,2,2,percentage:2,79%,tallers - Lapsed Users - 64% - 21% - Installers - 79% - Active Users - 36% - Installed: All active LG T,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
supported 13 titles,2,2,percentage:2,100%,| 3/16- 3/31 DE: 3/16- 3/31 Supported 13 Titles 100% SOV across 2 weeks each,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-65 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-36
spring promo roadblocks spotlight - with,2,2,percentage:2,31%,"3.jpg) - Spring Promo Roadblocks Spotlight - With 31% of total H1 budget, Spring Promo Roadblocks gener",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-43 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-41
same,2,2,percentage:2,1%,es: Change vs. Last QBR: increased % installed by 1% - same,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
sal investment split - bundle,2,2,currency:2,$2.5,5- H1 Bundle vs. SAL Investment Split - Bundle: $2.5M - SAL: $1.1M - Accomplished first to market te,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
s native ros drove,2,2,percentage:2,24%,"RBs Incremental Reach - Disney’s Native ROS drove 24% incremental reach to the roadblock strategy, enga","ROS Incremental Reach - Disney’s Native ROS drove 24% incremental reach to the roadblock strategy, enga",,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-47 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-63
s - 64% - 21% - installers - 79% - active users,2,2,percentage:2,36%,s - 64% - 21% - Installers - 79% - Active Users - 36% - Installed: All active LG TV users who had the a,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
ros not installed,2,2,percentage:2,4%,dblocks 11% ROS lapsed 8% content store roadblock 4% ROS Not Installed,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-29 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-29
roadblocks 11% ros lapsed 8% content store roadbl,2,2,percentage:2,77%,lide_17_image_rId5.jpg) ### Notes: Last half was 77% roadblocks 11% ROS lapsed 8% content store roadbl,lide_20_image_rId5.jpg) ### Notes: Last half was 77% roadblocks 11% ROS lapsed 8% content store roadbl,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-29 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-29
respectively,2,2,currency:2,$1.20,D+ users and garnered very low cost of less than ~$1.20 respectively. - - Deadpool Wolverine + Abbott El,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-34 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-34
recommendations - disney+ us was dark,2,2,percentage:2,70%,"- Recommendations - Disney+ US was dark 70% of the days in H1, with most investment concentra",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-46 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-44
poland,2,2,percentage:2,41%,33.49 / 38% Hungary: 27.37 / 30% Turkey: 50.49 / 41% Poland: 25.18 / 34% Sweden: $19.28,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26
penetration of lg maus - source,2,2,percentage:2,29% | 25%,n: EU5 Markets - September ‘25 - … - Updated - - 29% - Penetration of LG MAUs - Source: LG Ad Solution,nity for continued growth across LG’s footprint - 25% - Penetration of LG MAUs - Source: LG Ad Solution,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-74 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-19
p highlights - fy25 xlob partnership approved at,2,2,currency:2,$17,p Highlights - FY25 XLOB Partnership APPROVED at $17M Endeavor - Disney Streaming Global invested $9.4,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-4
of total duration,2,2,percentage:2,36%,jpg) ![rId5](slide_52_image_rId5.jpg) ### Notes: 36% of Total Duration,jpg) ![rId5](slide_65_image_rId5.jpg) ### Notes: 36% of Total Duration,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-70 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-41
of the days in h1,2,2,percentage:2,70%,"- Recommendations - Disney+ US was dark 70% of the days in H1, with most investment concentra",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-46 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-44
of h1 investment - source,2,2,percentage:2,33%,- - Bundle - Standalone - 67% of H1 Investment - 33% of H1 Investment - Source: LG Ads 1P Campaign Dat,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
of h1 investment - 33% of h1 investment - source,2,2,percentage:2,67%,lide_1_image_rId6.jpg) - - Bundle - Standalone - 67% of H1 Investment - 33% of H1 Investment - Source:,ide_21_image_rId6.jpg) - - Bundle - Standalone - 67% of H1 Investment - 33% of H1 Investment - Source:,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
of disney+ global h1 investment,2,2,percentage:2,50%,nt - $6.9M (+63% vs. H1 FY24) - US accounts for 50% of Disney+ Global H1 investment - $310K in Ad,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
of days - this is down h2 8 home screen roadblock,2,2,percentage:2,55%,ge_rId4.jpg) ### Notes: LAST HALF THEY WERE LIVE 55% OF DAYS - This is down H2 8 Home Screen Roadblock,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-31 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-31
of budget,2,2,percentage:2,20%,"ousel Companion - Carousel Companion represented <20% of budget, but drove 5x higher Launch Rate, 2x mo",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-34 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-65
numbers do not add up to,2,2,percentage:2,100%,t is your main TV? Note: Numbers do not add up to 100% because of multiple TVs within individual househo,e of TVs by Brand. Note: Numbers do not add up to 100% because of multiple TVs within individual househo,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-50 | Disney+ US FY24 H2/04_metrics_extracted.json#slide-7
nts for 50% of disney+ global h1 investment,2,2,currency:2,$310,nts for 50% of Disney+ Global H1 investment - $310K in Added Value - Market Activation & Expansion,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
not installed denmark,2,2,percentage:2,23%,"formance CPA – $10-$20 decrease, Norway: 24.16 / 23% not installed Denmark: 36.03 / 21% Finland: 40.60",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26
not - installed - lapsed users,2,2,percentage:2,24% | 26%,mage_rId4.jpg) - Not - Installed - Lapsed Users - 24% - 67% - +1 ppt HoH - Installers - 76% - +2 ppt Ho,mage_rId5.jpg) - Not - Installed - Lapsed Users - 26% - 66% - Installers - 74% - Active Users - 34% - I,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-18 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
non installers - lapsed users - 64%,2,2,percentage:2,21%,rId4.jpg) - Non Installers - Lapsed Users - 64% - 21% - Installers - 79% - Active Users - 36% - Install,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
mins - 96mins,2,2,percentage:2,+30%,e_16_image_rId4.jpg) - - - 73 - mins - 96mins - +30% - - Overall Audience - LG Exposed Audience - Sou,e_15_image_rId4.jpg) - - - 73 - mins - 96mins - +30% - - Overall Audience - LG Exposed Audience - Sou,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-26 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-26
m - source,2,2,currency:2,$1.7,- Investment→ - $0 - $458K - $1.2M - $0 - $133K - $1.7M - Source: LG Ads 1P Campaign Data during Disney,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-24 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-24
m - accomplished first to market testing - creat,2,2,currency:2,$1.1,. SAL Investment Split - Bundle: $2.5M - SAL: $1.1M - Accomplished first to market testing - Creat,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
m & surpassed tier 2 in 6 months - disney+ global,2,2,currency:2,$17,hts - - Disney XLOB FY25 Partnership: Renewed at $17M & surpassed Tier 2 in 6 months - Disney+ Global,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-4 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-4
launchesh2,2,2,percentage:2,+27% | +30%,e_rId8.jpg) ![rId6](slide_16_image_rId6.jpg) - - +27% - LaunchesH2’24: 9.4M - H1’25: 12.0M - +26% - Rea,e_rId7.jpg) ![rId5](slide_57_image_rId5.jpg) - - +30% - LaunchesH2’24: 32.5M - H1’25: 42.1M - +16% - Re,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-23 | Disney+ US FY25 H1/04_metrics_extracted.json#slide-61
launched the disney+ app for 2+ minutes 2h24 was,2,2,currency:2,$220,launched the Disney+ App for 2+ minutes 2H24 was $220K towards lapsed 17.2M impressions 659.9K launches,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-37 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-36
last half was 77% roadblocks 11% ros lapsed,2,2,percentage:2,8%,otes: Last half was 77% roadblocks 11% ROS lapsed 8% content store roadblock 4% ROS Not Installed,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-29 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-29
last half was 77% roadblocks,2,2,percentage:2,11%,Id5.jpg) ### Notes: Last half was 77% roadblocks 11% ROS lapsed 8% content store roadblock 4% ROS Not,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-29 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-29
last half was 74 minutes overall,2,2,percentage:2,+26%,"Campaign data; Last half was 74 minutes overall +26% to 94 minutes. Dates: 11/16, 11/17, 12/9 - 12/29,",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-26 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-26
last half they were live,2,2,percentage:2,55%,ge_rId4.jpg) ### Notes: LAST HALF THEY WERE LIVE 55% OF DAYS - This is down H2 8 Home Screen Roadblock,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-31 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-31
k investment towards not installed native ros line,2,2,currency:2,$221.5,.jpg) - FY25 H1 CPA - Not Installed ROS - - With $221.5K investment towards Not Installed native ROS line,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-33 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-33
k in h1,2,2,currency:2,$131,ed ROS - - Disney increased Lapsed investment by $131K in H1’25 while maintaining an efficient ~$5 CPE,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-35 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-35
julia,2,2,currency:2,$1.3,[rId4](slide_77_image_rId4.jpg) ### Notes: JULIA $1.3M Not Installed ROS budget 119M Impressions 682K I,[rId4](slide_15_image_rId4.jpg) ### Notes: JULIA $1.3M Not Installed ROS budget 119M Impressions 682K I,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-45 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-24
italy saw an,2,2,percentage:2,11%,her Disney+ countries at 58% growth. Italy saw an 11% increase in overall installs from April - Septemb,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-21 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-57
installed ros - - all secondary markets achieved,2,2,currency:2,$13,"Installed ROS - - All secondary markets achieved $13 average decrease in CPA vs last half, indicating",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-47 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-26
increased % installed by,2,2,percentage:2,1%,es: Change vs. Last QBR: increased % installed by 1% - same,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-25 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-25
in the uk,2,2,currency:2,$1,"imately $4.50 in Italy and Germany, and by around $1 in the UK, Spain, and France compared to H2’24 ![",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-25
in italy and germany,2,2,currency:2,$4.50,"ed to improve, with CPA dropping by approximately $4.50 in Italy and Germany, and by around $1 in the UK,",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-46 | Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-25
impact and optimize performance sal accounted for,2,2,percentage:2,33%,"impact and optimize performance SAL accounted for 33% of H1 investment, fueling major blockbuster launc",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
holiday roadblocks spotlight - with,2,2,percentage:2,21%,"e_rId3.jpg) - Holiday Roadblocks Spotlight - With 21% of total H1 budget, Holiday Promo Roadblocks gene",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-38
holiday promo roadblocks generated,2,2,percentage:2,30%,"tal H1 budget, Holiday Promo Roadblocks generated 30% of acquired users, had an 1.75x higher CTR, and a",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-41 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-38
highlighting opportunity to run,2,2,percentage:2,100%,"incremental lift, highlighting opportunity to run 100% SOV activations whenever new Disney Titles come t",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-42 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-42
h24 was,2,2,currency:2,$220,Id4](slide_5_image_rId4.jpg) ### Notes: 2H24 was $220K towards lapsed 17.2M impressions 659.9K launches,Id4](slide_2_image_rId4.jpg) ### Notes: 2H24 was $220K towards lapsed 17.2M impressions 659.9K launches,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-35 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-35
h1 skew overview - bundle accounted for,2,2,percentage:2,67%,"d3.jpg) - H1 Skew Overview - Bundle accounted for 67% of the H1 investment, with growing emphasis on Bu",,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-32 | Disney+ US FY25 H2/04_metrics_extracted.json#slide-32
